acast;podcaster;eb00;Acast;https://acast.com/;
anchor;podcaster;eb01;Anchor;https://anchor.fm/;
ausha;podcaster;eb02;Ausha;https://www.ausha.co/;
blubrry;podcaster;eb03;Blubrry Podcasting;https://blubrry.com/;
buzzsprout;podcaster;eb04;Buzzsprout;https://www.buzzsprout.com/;podcasting20certifiedbadge
captivate;podcaster;eb05;Captivate;https://www.captivate.fm/;podcasting20certifiedbadge
castopod;podcaster;eb06;Castopod;https://castopod.org/;podcasting20certifiedbadge,opensource
castos;podcaster;eb07;Castos;https://castos.com/;podcasting20certifiedbadge
fireside;podcaster;eb08;Fireside;https://fireside.fm/;podcasting20certifiedbadge
headliner;podcaster;eb09;Headliner;https://www.headliner.app/;podcasting20certifiedbadge
jumplink;podcaster;eb0a;Jumplink;https://jump.link/;podcasting20certifiedbadge
justcast;podcaster;eb0b;Justcast;https://www.justcast.com/;podcasting20certifiedbadge
libsyn;podcaster;eb0c;Libsyn;https://libsyn.com/;podcasting20certifiedbadge
podbean;podcaster;eb0d;Podbean;https://www.podbean.com/;
podcastics;podcaster;eb0e;Podcastics;https://www.podcastics.com/;
podcastpage;podcaster;eb0f;Podcastpage;https://podcastpage.io/;podcasting20certifiedbadge
podchaser;podcaster;eb10;Podchaser;https://www.podchaser.com/;
podcloud;podcaster;eb11;podCloud;https://podcloud.fr/;
podigee;podcaster;eb12;podigee;https://www.podigee.com/;
podlove;podcaster;eb13;Podlove;https://podlove.org/;podcasting20certifiedbadge,opensource
podserve;podcaster;eb14;Podserve;https://www.podserve.fm/;podcasting20certifiedbadge
powerpress;podcaster;eb15;Powerpress;https://blubrry.com/services/powerpress-plugin/;podcasting20certifiedbadge
rsscom;podcaster;eb16;RSS.com;https://rss.com/;podcasting20certifiedbadge
satoshisstream;podcaster;eb17;Satoshis.Stream;https://satoshis.stream/;podcasting20certifiedbadge,opensource
simplecast;podcaster;eb18;Simplecast;https://simplecast.com/;
spreaker;podcaster;eb19;Spreaker;https://www.spreaker.com/;
stitcher;podcaster;eb1a;Stitcher;https://www.stitcher.com/;
transistor;podcaster;eb1b;Transistor;https://transistor.fm/;
whooshkaa;podcaster;eb1c;Whooshkaa;https://www.whooshkaa.com/;
podcasting20certified;podcaster;eb1e;Podcasting 2.0 Certified;http://newpodcastapps.com;podcasting20certifiedbadge,opensource
amazonmusic;listener;eb1f;Amazon Music;https://music.amazon.com/;
antennapod;listener;eb20;AntennaPod;https://antennapod.org/;podcasting20certifiedbadge,opensource
anytime;listener;eb21;Anytime Player;https://anytimeplayer.app/;podcasting20certifiedbadge,opensource
breaker;listener;eb22;Breaker;https://www.breaker.audio/;
breez;listener;eb23;Breez;https://breez.technology/;podcasting20certifiedbadge,opensource
castamatic;listener;eb24;Castamatic;https://castamatic.com/;
castbox;listener;eb25;Castbox;https://castbox.fm/;
castcoverage;listener;eb26;CastCoverage;http://castcoverage.com/;podcasting20certifiedbadge
castro;listener;eb27;Castro;https://castro.fm/;
curiocaster;listener;eb28;Curiocaster;https://curiocaster.com/;podcasting20certifiedbadge
podlink;podcaster;eb29;Podlink;https://pod.link/;
escapepod;listener;eb2a;Escapepod;https://github.com/y20k/escapepod;podcasting20certifiedbadge,opensource
fountain;listener;eb2b;Fountain;https://www.fountain.fm/;podcasting20certifiedbadge
gnomepodcasts;listener;eb2c;Gnome Podcasts;https://gitlab.gnome.org/World/podcasts;opensource
googlepodcasts;listener;eb2d;Google Podcasts;https://podcasts.google.com/;
gpodder;listener;eb2e;gPodder;https://gpodder.net/;podcasting20certifiedbadge,opensource
hypercatcher;listener;eb2f;Hypercatcher;https://hypercatcher.com/;podcasting20certifiedbadge
iheart;listener;eb30;iHeart;https://www.iheart.com/;
ivoox;listener;eb31;Ivoox;https://www.ivoox.com/;
ivyfm;listener;eb32;Ivyfm;https://ivy.fm/;podcasting20certifiedbadge
kasts;listener;eb33;Kasts;https://apps.kde.org/fr/kasts/;opensource
mediavault;listener;eb34;mediavault;https://github.com/walkero-gr/mediavault;podcasting20certifiedbadge,opensource
overcast;listener;eb35;Overcast;https://overcast.fm/;
playapod;listener;eb36;Playapod;https://playapod.com/;podcasting20certifiedbadge
playerfm;listener;eb37;Player FM;https://player.fm/;
pocketcasts;listener;eb38;Pocket Casts;https://www.pocketcasts.com/;
podcastaddict;listener;eb39;Podcast Addict;https://podcastaddict.com/;podcasting20certifiedbadge
podcastchapters;listener;eb3a;Podcast Chapters;https://chaptersapp.com/;podcasting20certifiedbadge
podcastguru;listener;eb3b;Podcastguru;https://podcastguru.io/;podcasting20certifiedbadge
